iter	MultiClass
0	-1.572121356
1	-1.537456066
2	-1.505106941
3	-1.474802704
4	-1.446319914
5	-1.419471826
6	-1.394229336
7	-1.37018905
8	-1.347374485
9	-1.325812935
10	-1.305149042
11	-1.285561969
12	-1.266815917
13	-1.248807731
14	-1.231569042
15	-1.215150733
16	-1.199363099
17	-1.184236546
18	-1.169602385
19	-1.155583523
20	-1.14212536
21	-1.129123647
22	-1.116539874
23	-1.10448971
24	-1.092862248
25	-1.081593783
26	-1.070707367
27	-1.060139897
28	-1.049923185
29	-1.040042533
30	-1.030515373
31	-1.021327526
32	-1.012424233
33	-1.003802604
34	-0.9953703102
35	-0.9872225622
36	-0.9793224752
37	-0.9716945128
38	-0.9642263477
39	-0.9570411215
40	-0.9500217202
41	-0.9432462294
42	-0.9366644605
43	-0.9302021361
44	-0.9239422496
45	-0.9178553198
46	-0.9119358492
47	-0.9061695137
48	-0.9005676882
49	-0.8951570904
50	-0.8898913858
51	-0.8847065836
52	-0.8796760255
53	-0.8747783763
54	-0.8700390882
55	-0.865390321
56	-0.8608620377
57	-0.8564501181
58	-0.8521509649
59	-0.8479318216
60	-0.8438478463
61	-0.8399038602
62	-0.8360445147
63	-0.8322575421
64	-0.828563709
65	-0.8249611727
66	-0.821447346
67	-0.8180131754
68	-0.8146685533
69	-0.8114052371
70	-0.8082108636
71	-0.8051309618
72	-0.8020956966
73	-0.7991342722
74	-0.7962363148
75	-0.7934081853
76	-0.7906513659
77	-0.7879591779
78	-0.7853233486
79	-0.7827510779
80	-0.7802446265
81	-0.7777960261
82	-0.7753949691
83	-0.7730550798
84	-0.7708039984
85	-0.7685729867
86	-0.7663927589
87	-0.7642591769
88	-0.7621782293
89	-0.760145608
90	-0.7581587371
91	-0.7562187117
92	-0.7543220476
93	-0.7524929638
94	-0.7507095649
95	-0.7489368492
96	-0.7472052889
97	-0.7455135018
98	-0.7438531366
99	-0.7422291599
100	-0.7406424125
101	-0.7390833483
102	-0.7375483632
103	-0.7360711209
104	-0.7346900635
105	-0.7332701616
106	-0.7318826811
107	-0.7305272046
108	-0.7292008768
109	-0.7279045668
110	-0.7266316255
111	-0.7253873936
112	-0.7241553042
113	-0.7229658128
114	-0.721805616
115	-0.7206725022
116	-0.7196012296
117	-0.7185140097
118	-0.7175415399
119	-0.7165951313
120	-0.7155725824
121	-0.7145693883
122	-0.7136854329
123	-0.712722132
124	-0.7117809509
125	-0.7109514707
126	-0.7101381056
127	-0.7093426411
128	-0.7084726382
129	-0.7076417879
130	-0.706799484
131	-0.7060897595
132	-0.7053806326
133	-0.704580653
134	-0.7038002754
135	-0.7031332931
136	-0.7024220559
137	-0.7017873906
138	-0.7010800712
139	-0.700512041
140	-0.699831095
141	-0.6991857273
142	-0.698625854
143	-0.6981122397
144	-0.6976189579
145	-0.6971575282
146	-0.6965554147
147	-0.6961522555
148	-0.6955980237
149	-0.6951138505
150	-0.6946225584
151	-0.6941370172
152	-0.6936145222
153	-0.6930759974
154	-0.6926697084
155	-0.692194168
156	-0.6917612276
157	-0.6914390883
158	-0.6910627001
159	-0.6906643453
160	-0.6902363541
161	-0.6898623648
162	-0.689585676
163	-0.6892813955
164	-0.6889585602
165	-0.6885744094
166	-0.6881913644
167	-0.6878355968
168	-0.6875032025
169	-0.6871459952
170	-0.6868488806
171	-0.6864925179
172	-0.6861827966
173	-0.6859023657
174	-0.6856694424
175	-0.6854098863
176	-0.685080238
177	-0.6847906814
178	-0.6845391206
179	-0.6843070052
180	-0.6840471675
181	-0.6837610117
182	-0.6835573337
183	-0.6833299067
184	-0.6831151415
185	-0.6828689506
186	-0.6826867788
187	-0.6824682296
188	-0.6822944226
189	-0.6821076735
190	-0.6818774032
191	-0.6816737062
192	-0.6815117423
193	-0.6813013084
194	-0.6811677911
195	-0.680917535
196	-0.6807474533
197	-0.6805926739
198	-0.6804026501
199	-0.6802469977
200	-0.6801032153
201	-0.6799732311
202	-0.679787943
203	-0.6796417575
204	-0.6794854381
205	-0.6793952198
206	-0.6792386855
207	-0.6790272821
208	-0.6789166649
209	-0.6787404277
210	-0.6786290624
211	-0.678538572
212	-0.6784343374
213	-0.6783090843
214	-0.6782164595
215	-0.6780727704
216	-0.677937425
217	-0.6778182374
218	-0.6777012616
219	-0.6775665569
220	-0.677450516
