iter	Passed	Remaining
0	153	614043
1	270	540867
2	355	473748
3	501	501028
4	646	516437
5	792	527237
6	921	525420
7	1036	517226
8	1156	512647
9	1288	514135
10	1420	514969
11	1529	508340
12	1669	512039
13	1793	510727
14	1936	514503
15	2050	510557
16	2168	508155
17	2345	518845
18	2543	532929
19	2668	531104
20	2803	531232
21	2917	527609
22	3029	523874
23	3169	525046
24	3291	523371
25	3404	520384
26	3508	516251
27	3632	515331
28	3747	513159
29	3875	512844
30	3987	510496
31	4108	509487
32	4237	509415
33	4344	506755
34	4444	503460
35	4596	506111
36	4737	507454
37	4855	506231
38	4991	507007
39	5112	506119
40	5222	504330
41	5328	502159
42	5414	498246
43	5566	500480
44	5685	499712
45	5860	503713
46	6023	506589
47	6186	509376
48	6357	512644
49	6512	514449
50	6646	514665
51	6835	518952
52	7018	522693
53	7209	526816
54	7334	526103
55	7463	525614
56	7592	525182
57	7706	523768
58	7805	521382
59	7905	519135
60	8036	518958
61	8156	518047
62	8258	516114
63	8366	514514
64	8578	519321
65	8765	522450
66	8949	525361
67	9137	528351
68	9318	530883
69	9454	530816
70	9623	532550
71	9731	530927
72	9850	529918
73	9993	530180
74	10112	529230
75	10236	528524
76	10374	528573
77	10534	529683
78	10691	530670
79	10794	528929
80	10880	526443
81	11017	526401
82	11108	524257
83	11191	521725
84	11345	522551
85	11474	522237
86	11613	522349
87	11735	521689
88	11853	520870
89	12032	522726
90	12230	525361
91	12393	526473
92	12577	528406
93	12769	530599
94	12964	532889
95	13137	534270
96	13293	534880
97	13442	535233
98	13621	536756
99	13767	536949
100	13983	539819
101	14124	539761
102	14306	541276
103	14437	540841
104	14564	540286
105	14682	539361
106	14795	538290
107	14939	538377
108	15059	537572
109	15144	535570
110	15247	534202
111	15369	533531
112	15469	532136
113	15575	530935
114	15698	530325
115	15796	528919
116	15884	527180
117	16003	526487
118	16186	527895
119	16335	528170
120	16464	527828
121	16676	530104
122	16873	531868
123	17010	531729
124	17142	531424
125	17247	530297
126	17344	528931
127	17445	527718
128	17613	528541
129	17771	529053
130	17856	527382
131	17971	526608
132	18086	525880
133	18227	525880
134	18316	524387
135	18450	524200
136	18572	523687
137	18768	525256
138	18924	525663
139	19105	526771
140	19221	526065
141	19356	525908
142	19536	526945
143	19715	527933
144	19845	527625
145	19963	526983
146	20125	527513
147	20221	526295
148	20351	526003
149	20525	526811
150	20662	526696
151	20769	525788
152	20932	526320
153	21081	526485
154	21240	526897
155	21385	526959
156	21511	526554
157	21648	526416
158	21804	526742
159	21940	526560
160	22021	525088
161	22150	524764
162	22271	524278
163	22379	523464
164	22494	522832
165	22607	522161
166	22728	521678
167	22824	520615
168	22927	519739
169	23052	519351
170	23150	518379
171	23251	517481
172	23359	516736
173	23444	515505
174	23608	516017
175	23723	515440
176	23850	515134
177	23963	514535
178	24040	513180
179	24164	512824
180	24230	511256
181	24329	510378
182	24422	509399
183	24502	508156
184	24630	507915
185	24737	507246
186	24838	506458
187	24990	506714
188	25153	507187
189	25357	508483
190	25545	509434
191	25700	509722
192	25839	509691
193	26013	510338
194	26226	511746
195	26364	511691
196	26537	512298
197	26660	511934
198	26785	511617
199	26878	510694
200	26972	509786
201	27094	509436
202	27201	508782
203	27286	507748
204	27414	507501
205	27501	506511
206	27621	506131
207	27754	505980
208	27876	505638
209	28000	505335
210	28104	504677
211	28207	504004
212	28312	503374
213	28430	502972
214	28554	502693
215	28683	502498
216	28791	501923
217	28870	500867
218	28938	499623
219	29037	498912
220	29164	498705
221	29318	498942
222	29427	498420
223	29566	498408
224	29720	498646
225	29841	498323
226	29957	497923
227	30163	499026
228	30276	498562
229	30404	498366
230	30567	498743
231	30751	499438
